Author,Comment Text
@IanGonzalez-vi1fw,Te😂
@Treyvon-wt8vt,❤😂
@nayanabhat2707,😊
@nayanabhat2707,"100008
1222222205
regdcsbru
bfgsdh
123
1
0"
@Alexandruanto21,The best come in Romania
@FunnyAurora-hl1jx,Aaaa
@AlbertoCurltireplutin-kt7dz,😂😊
@AlbertoCurltireplutin-kt7dz,😅 hello soy de cuba yunieski Plutin labrada
@JohnRizzo-g1u,Keep up your phenomenal videos😊
@FunnyAurora-hl1jx,Www
@МатлубаСултонбекова-с5н,Авувкенн​ @RanielNuggies 
@skrakibkhan-ut5fd,3:49
@99phankiet,Love
@عصامالعنازي-ج8ح,🎉❤❤❤❤❤ز😢😅😂زببب
@mansouritoufik6004,احب ❤ قناتك
@AbejitaYT524,Me gustan tus vídeos
@Um11_c2k,Hello
@joanmendoza8003,Yceforfritxrxe❤
@kaifajavad,Ok
@jumblybumble,NO
@SayimHossain-h8s,কেমন আছেন সবাই 😊
@SayimHossain-h8s,অনেক সুন্দর পোস্ট 😊
@aaryashrana2661,900000000000000000000000000op
@SayimHossain-h8s, @aaryashrana2661  অনেক সুন্দর পোস্ট
@blancavelva23,😮misterbis notienes  un coche  de oro😮😢😅😊❤😂🎉😢😮😅😊
@عبوديعلي-و3ث,Fawning
@MuhitdinHodjayev,❤❤yhg
@MuhitdinHodjayev,4:37
@sbsstar4004,$55550❤
@A1Music_10,ok.
@julietkagendo8295,Woooooooo
@AlineSouza-ue9pi,😂❤
@sozo_xplr,You caught me…
@damianbruna1077,Ola  donde ben de llocolates chile
@يحيىالسفاق-ر7م,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤جود
@يحيىالسفاق-ر7م,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤جود
@MarielyzMota,Te quiero conocer
@LeigthVar,❤😅🎉😊
@Kira_pj,The best youTuber in the world❤
@Kira_pj,Your the best
@star02smg,:yougotthis:
@OrhanKaplan-ld3px,❤❤❤❤ MR bean'i seviyorum galipler seni çok seviyorum Lütfen bana $200.000 gönder lütfen videolarını beğenerek izliyorum
@SOWON_BRO,Ayo the short แปลก
@SOWON_BRO,Ayo the short แปลก
@SOWON_BRO,Ayo the short แปลก
@فرزادمحمدی-ل5ن,Misdobi10000😊🎉❤
@abdallah66abd49,مستر بيست
@MiguelUu-bs1wb,do n debibes
@MiguelUu-bs1wb,😊
@MiguelUu-bs1wb,ey
@IsmailhasanSiam-ls8oc,😂😂😂
@AliyahuImabigfan-lk3nt,I'm a huge fan
@vladdagon,Hola Jimmy! Gracias por hacer mis dias un poco mejor con tus videos! Realmente son magnificos! A simple vista se puede ver que sos una gran persona al igual que humilde. Un fuerte abrazo desde Argentina!
@FarhanarezkhiRezkhi,😊😊😎😎
@allenhouse3686,Bloooooop
@еваваша-ф1о,Мистрпиатрпримииалам
@pavitranaik2217,Me kya kar Raha hu
@Santosheikh-ei6dd,Vai helpme vai 😢😢 love vai ❤❤❤❤❤
@МашаДидковская,Buy Leopard tanks for Ukraine
@hudsonfernandes859,E eu aqui assistindo do Brasil
@ابوالنور-ض4ض,هعفظى❤
@77peacekeeper77,No
@fightergaming2838,0:21
@Ferzyk1110,Ая по ф и не только в Ц❤Ц и цффф б
@sakilhossenjubayer741,Bangladesh ❤❤
@qosimenak4919,Bagus❤❤ banyak
@SlaveStateZhina,👌
@Mr_djihad.,❤❤❤❤❤❤❤❤❤
@dannyjoanalzatecastrillon7974,❤😊😅
@mohamedghalia-qu7kw,أجانييمشتربشأمنرانشركتمعاك
@EmarotHossain-qk1ww,Re mi LLC oh no LLC
@ओमशिवबोलोक,❤❤❤❤❤❤❤❤❤❤❤
@ओमशिवबोलोक,😊😊😊😊❤❤❤❤❤❤😮😮
@papaayite9408,Je swi abonne
@lionelmessi-fz9ls,z
@sarosvideos4429,Ok
@Maria-zq5hs,HELLO😊😊Mrbeast😊😊😊
@walterenriquefigueroacruz4539,woo me quede asustada como puede ser que linda la ballena cuando se tiro al agua yel unico cuarto que me dio mucha risa fue el de 500000 millones
@Shecelly,0:32 0:39
@Omega_426,Classic mr beast
